DateTime,Entries,UniqueIPs
1536725106,23524,23524
1536726996,23478,23478
1536728931,23494,23494
1536730821,24482,24482
1536732763,24511,24511
1536734671,24540,24540
1536736615,24512,24512
1536738514,24136,24136
1536740425,24144,24144
1536742347,24779,24779
1536744298,26163,26163
1536746220,27795,27795
1536748117,28901,28901
1536750989,28842,28842
1536752899,28815,28815
1536754826,29867,29867
1536756740,32480,32480
1536758662,31691,31691
1536760582,31007,31007
1536762501,30943,30943
1536764672,30827,30827
1536766527,30688,30688
1536768782,30556,30556
1536770681,30320,30320
1536772593,29846,29846
1536774524,29555,29555
1536776418,26812,26812
1536778357,26103,26103
1536780264,25984,25984
1536782198,25841,25841
1536784100,25743,25743
1536786043,25695,25695
1536787945,25243,25243
1536789881,25027,25027
1536791777,24956,24956
1536793706,24889,24889
1536795617,24808,24808
1536797537,24726,24726
1536799459,24680,24680
1536801396,24570,24570
1536803299,24346,24346
1536805219,23572,23572
1536807152,23507,23507
1536809059,23143,23143
1536811015,23095,23095
1536812898,23167,23167
1536815790,22742,22742
1536817724,21335,21335
1536819617,20913,20913
1536821659,20637,20637
1536823698,20577,20577
1536825669,20558,20558
1536827549,20586,20586
1536829469,19230,19230
1536831395,17329,17329
1536833316,15547,15547
1536835215,14841,14841
1536837140,14868,14868
1536839068,14866,14866
1536841011,14236,14236
1536842903,10965,10965
1536844829,11000,11000
1536846778,10992,10992
1536848667,10984,10984
1536850585,11023,11023
1536852499,9931,9931
1536854444,10014,10014
1536856358,10490,10490
1536858297,10671,10671
1536860207,10628,10628
1536862109,10604,10604
1536864022,10619,10619
1536865953,10676,10676
1536867885,10670,10670
1536869790,10667,10667
1536871595,10815,10815
1536873610,10810,10810
1536875546,10830,10830
1536877703,10760,10760
1536879687,10734,10734
1536881539,10811,10811
1536883492,10809,10809
1536885415,10848,10848
1536887333,10860,10860
1536889239,10900,10900
1536891154,10937,10937
1536893054,10914,10914
1536895026,10700,10700
1536896899,10716,10716
1536898850,10493,10493
1536900744,10684,10684
1536902681,10791,10791
1536904593,10673,10673
1536906525,10681,10681
1536908464,11123,11123
1536910609,11172,11172
1536912549,11166,11166
1536914449,11202,11202
1536916358,11207,11207
1536918270,11758,11758
1536920209,11855,11855
1536922098,11912,11912
1536924067,11933,11933
1536925950,12270,12270
1536928127,12269,12269
1536930071,12226,12226
1536931964,12234,12234
1536933868,12202,12202
1536935772,12156,12156
1536937738,12180,12180
1536939891,12195,12195
1536941800,11197,11197
1536943706,11197,11197
1536945626,11066,11066
1536947563,11192,11192
1536949467,11249,11249
1536951394,11190,11190
1536953327,12895,12895
1536955256,13489,13489
1536957155,13455,13455
1536959084,13439,13439
1536961006,13449,13449
1536962913,13466,13466
1536964864,13742,13742
1536967013,13795,13795
1536968895,13768,13768
1536970839,13756,13756
1536972761,13728,13728
1536974681,14489,14489
1536976569,15293,15293
1536978497,16240,16240
1536980449,16624,16624
1536982357,16694,16694
1536984292,16690,16690
1536986181,16633,16633
1536988122,16352,16352
1536990043,16360,16360
1536992211,16402,16402
1536994348,16151,16151
1536996511,16057,16057
1536999396,16205,16205
1537001305,16150,16150
1537003219,16105,16105
1537005140,15617,15617
1537007062,15607,15607
1537008981,16125,16125
1537010895,16123,16123
1537012889,16465,16465
1537015001,16653,16653
1537016903,16670,16670
1537018821,16716,16716
1537020742,16717,16717
1537022670,16646,16646
1537024594,16565,16565
1537026500,16607,16607
1537028766,16614,16614
1537030575,16632,16632
1537032739,16675,16675
1537034652,16744,16744
1537036822,16849,16849
1537038749,16578,16578
1537040681,15621,15621
1537042589,15711,15711
1537044523,15747,15747
1537046431,15728,15728
1537048348,15769,15769
1537050266,15785,15785
1537052194,15408,15408
1537054105,15366,15366
1537056042,15374,15374
1537057946,15368,15368
1537059886,15151,15151
1537061790,14134,14134
1537063723,13283,13283
1537065620,12451,12451
1537067539,12093,12093
1537069478,11973,11973
1537071386,11954,11954
1537073300,11910,11910
1537075217,11832,11832
1537077181,11794,11794
1537079071,11948,11948
1537080993,12239,12239
1537082904,12285,12285
1537084840,12257,12257
1537086759,12359,12359
1537088680,12398,12398
1537090750,12337,12337
1537092748,12366,12366
1537094680,11882,11882
1537096596,11589,11589
1537098521,11038,11038
1537100424,10232,10232
1537102346,10677,10677
1537104262,10643,10643
1537106198,13859,13859
1537108100,13940,13940
1537110044,13930,13930
1537111966,13935,13935
1537113872,13912,13912
1537115801,13985,13985
1537117704,14614,14614
1537119615,14682,14682
1537121543,15372,15372
1537123459,15359,15359
1537125391,15368,15368
1537127303,15323,15323
1537129460,15220,15220
1537131400,15265,15265
1537133305,15368,15368
1537135249,15349,15349
1537137147,15401,15401
1537139067,15420,15420
1537141011,15440,15440
1537143148,16229,16229
1537145066,18096,18096
1537146990,19777,19777
1537148916,20975,20975
1537150825,20993,20993
1537152750,20991,20991
1537154678,20983,20983
1537156588,21050,21050
1537158494,21037,21037
1537160459,21040,21040
1537162591,21021,21021
1537164505,20978,20978
1537166426,20724,20724
1537168349,20814,20814
1537170267,20825,20825
1537172197,20699,20699
1537174099,20743,20743
1537176030,20878,20878
1537177947,20935,20935
1537179874,20968,20968
1537181786,21067,21067
1537183700,21158,21158
1537185682,21281,21281
1537187562,21324,21324
1537189477,21071,21071
1537191393,21131,21131
1537193317,18036,18036
1537195253,18679,18679
1537197163,18749,18749
1537199087,18802,18802
1537201008,18941,18941
1537202917,18575,18575
1537204842,18740,18740
1537206757,18347,18347
1537208653,18263,18263
1537210596,18209,18209
1537212535,18426,18426
1537214453,18509,18509
1537216365,18384,18384
1537218268,18389,18389
1537220210,18313,18313
1537222124,18321,18321
1537224285,18295,18295
1537226211,18271,18271
1537228130,18303,18303
1537230575,16572,16572
1537232431,14752,14752
1537234349,13853,13853
1537236278,13741,13741
1537238172,13849,13849
1537240124,13837,13837
1537242045,13872,13872
1537243944,13533,13533
1537245853,13567,13567
1537247802,13588,13588
1537249692,13591,13591
1537251630,13571,13571
1537253557,13589,13589
1537255473,13485,13485
1537257394,13543,13543
1537259313,13577,13577
1537261280,13495,13495
1537263168,15985,15985
1537265088,19305,19305
1537266971,22547,22547
1537268935,25050,25050
1537271080,24958,24958
1537273006,24861,24861
1537275155,24781,24781
1537277070,24717,24717
1537279002,24820,24820
1537281153,25061,25061
1537283055,24919,24919
1537285250,24909,24909
1537287906,25047,25047
1537291009,24819,24819
1537292921,24632,24632
1537294843,24536,24536
1537296760,24465,24465
1537298653,24319,24319
1537300595,24288,24288
1537302515,24524,24524
1537304458,24846,24846
1537306351,24835,24835
1537308272,24846,24846
1537310184,24847,24847
1537312123,24837,24837
1537314041,24860,24860
1537316206,24847,24847
1537318092,24833,24833
1537320037,24805,24805
1537321940,24083,24083
1537323876,24047,24047
1537325773,24641,24641
1537327714,24661,24661
1537329631,24636,24636
1537331556,24835,24835
1537333464,24896,24896
1537335370,25009,25009
1537337317,25161,25161
1537339229,25383,25383
1537341395,25517,25517
1537343301,25435,25435
1537345237,25974,25974
1537347144,26167,26167
1537349063,24920,24920
1537350987,21584,21584
1537353203,18010,18010
1537355087,15316,15316
1537356972,15345,15345
1537358974,15343,15343
1537360822,15368,15368
1537362888,15296,15296
1537364894,15160,15160
1537367070,14961,14961
1537368988,14960,14960
1537371145,14516,14516
1537373084,14445,14445
1537374979,14254,14254
1537376904,14448,14448
1537378820,14450,14450
1537380740,14456,14456
1537382682,14457,14457
1537384592,14452,14452
1537386499,14390,14390
1537388418,14360,14360
1537390350,13453,13453
1537392264,13461,13461
1537394183,13336,13336
1537396097,13363,13363
1537398037,13372,13372
1537399947,13356,13356
1537401880,13331,13331
1537403788,13342,13342
1537405715,13474,13474
1537407629,13463,13463
1537409544,13489,13489
1537411461,12901,12901
1537413384,12918,12918
1537415335,13015,13015
1537417223,12884,12884
1537419163,12734,12734
1537421083,12731,12731
1537423019,12815,12815
1537424897,12696,12696
1537426856,12652,12652
1537428745,12657,12657
1537430675,12579,12579
1537432824,12004,12004
1537434756,12097,12097
1537436661,12096,12096
1537438590,12037,12037
1537440506,12075,12075
1537442439,12062,12062
1537444363,12009,12009
1537446274,12044,12044
1537448187,12042,12042
1537450097,12063,12063
1537452026,11312,11312
1537453943,11315,11315
1537455875,11286,11286
1537457789,11317,11317
1537459747,11301,11301
1537461633,11297,11297
1537463552,11299,11299
1537465480,11365,11365
1537467396,12925,12925
1537469303,13058,13058
1537471232,13088,13088
1537473144,13051,13051
1537475074,12999,12999
1537476982,12977,12977
1537478896,13130,13130
1537480830,13141,13141
1537482747,13070,13070
1537484663,13129,13129
1537486597,13192,13192
1537488508,13182,13182
1537490426,13259,13259
1537492349,13300,13300
1537494266,13309,13309
1537496215,13267,13267
1537498100,13333,13333
1537500048,13284,13284
1537501998,13180,13180
1537503873,13131,13131
1537505784,13120,13120
1537507724,13058,13058
1537509674,12914,12914
1537511548,12676,12676
1537513469,12403,12403
1537515396,12017,12017
1537517328,11742,11742
1537519237,11690,11690
1537521419,11640,11640
1537523329,11704,11704
1537525233,11722,11722
1537527166,11697,11697
1537529083,11756,11756
1537530994,11745,11745
1537532918,11712,11712
1537534854,11663,11663
1537536760,11632,11632
1537538689,11636,11636
1537540603,11621,11621
1537542521,11627,11627
1537544433,12444,12444
1537546604,12612,12612
1537548741,12593,12593
1537550675,12593,12593
1537552574,12533,12533
1537554511,12465,12465
1537556439,12488,12488
1537558360,11961,11961
1537560263,10300,10300
1537562171,10287,10287
1537564127,10263,10263
1537566035,10271,10271
1537567957,10363,10363
1537569856,10364,10364
1537571805,10321,10321
1537573717,10286,10286
1537575646,10223,10223
1537577800,10161,10161
1537580435,10158,10158
1537582360,10180,10180
1537584276,10142,10142
1537586204,10195,10195
